'article_id', 'similarity'
'11000110-20', 0.98046875
'11000280-50', 0.984375
'11000310-70', 0.98828125
'11000480-20', 0.9765625
'11000510-60', 0.98828125
'11000610-20', 0.98046875
'11000710-20', 0.984375
'11000810-11', 0.98828125
'11000910-60', 0.98046875
'11001010-10', 0.984375
'11001110-10', 0.984375
'11001210-20', 0.96875
'11001310-20', 0.9765625
'11001410-11', 0.98046875
'11001580-20', 0.96484375
'11001610-11', 0.98046875
'11001810-10', 0.98046875
'11001910-20', 0.97265625
'11002010-20', 0.97265625
'11002110-50', 0.98046875
'11002210-60', 0.98046875
'11002310-60', 0.98046875
'11002410-10', 0.98828125
'11002510-11', 0.984375
'11002610-63', 0.984375
'11002710-11', 0.984375
'11002810-20', 0.97265625
'11002910-10', 0.98046875
'11003010-10', 0.98046875
'11003110-50', 0.98046875
'11003210-50', 0.98046875
'11003310-50', 0.98046875
'11003410-20', 0.9765625
'11003510-50', 0.984375
'11003610-50', 0.98046875
'11003780-80', 0.97265625
'11003810-11', 0.98046875
'11003910-50', 0.984375
'11004010-20', 0.9765625
'11004110-50', 0.984375
'11004280-20', 0.96875
'11004310-10', 0.984375
'11004410-50', 0.984375
'11004510-60', 0.984375
'11004610-11', 0.984375
'11004710-11', 0.984375
'11004810-50', 0.984375
'11004910-50', 0.984375
'11005010-11', 0.984375
'11005110-50', 0.98046875
'11005210-50', 0.98046875
'11005310-60', 0.98046875
'11005410-60', 0.98046875
'11005510-11', 0.98046875
'11005610-60', 0.98046875
'11005710-60', 0.98046875
'11005810-80', 0.984375
'11005910-10', 0.984375
'11006010-50', 0.984375
'11006110-60', 0.984375
'11006210-10', 0.98046875
'11006310-50', 0.9765625
'11006410-10', 0.984375
'11006510-10', 0.984375
'11006610-10', 0.984375
'11006780-10', 0.9765625
'11006780-80', 0.9765625
'11006810-30', 0.98046875
'11006910-92', 0.98046875
'11007010-20', 0.97265625
'11007010-50', 0.98046875
'11007110-11', 0.984375
'11007110-60', 0.984375
'11007280-10', 0.97265625
'11007280-11', 0.97265625
'11007310-10', 0.98046875
'11007310-11', 0.98046875
'11007410-10', 0.984375
'11007510-52', 0.98046875
'11007510-20', 0.97265625
'11007510-50', 0.98046875
'11007610-60', 0.98046875
'11007610-50', 0.98046875
'11007710-11', 0.98046875
'11007710-50', 0.98046875
'11007810-11', 0.984375
'11007910-50', 0.98046875
'11007910-93', 0.98046875
'11008050-50', 0.98046875
'11008050-63', 0.98046875
'11008110-10', 0.98046875
'11008110-50', 0.98046875
'11008110-51', 0.98046875
'11008110-60', 0.98046875
'11008110-80', 0.98046875
'11008250-10', 0.984375
'11008250-11', 0.984375
'11008350-50', 0.984375
'11008350-60', 0.984375
'11008410-20', 0.96875
'11008510-20', 0.96875
'11008510-80', 0.9765625
'11008610-50', 0.9765625
'11008710-10', 0.9765625
'11008710-20', 0.97265625
'11008810-11', 0.9765625
'11008810-50', 0.9765625
'11008910-20', 0.97265625
'11009010-11', 0.9765625
'11009010-50', 0.9765625
'11009110-11', 0.98046875
'11009210-20', 0.97265625
'11009310-10', 0.984375
'11009410-10', 0.984375
'11009410-50', 0.984375
'11009510-11', 0.9765625
'11009510-50', 0.9765625
'11009610-11', 0.98046875
'11009710-50', 0.98046875
'11009810-20', 0.96875
'11009810-50', 0.9765625
'11009910-92', 0.9765625
'11010010-50', 0.9765625
'11010010-55', 0.98046875
'11010110-50', 0.9765625
'11010280-60', 0.984375
'11010310-20', 0.97265625
'11010410-10', 0.984375
'11010410-11', 0.984375
'11010580-20', 0.96875
'11010580-50', 0.9765625
'11010610-50', 0.984375
'11010610-70', 0.984375
'11010780-20', 0.96875
'11010810-60', 0.984375
'11010980-11', 0.97265625
'11010980-50', 0.97265625
'11011010-50', 0.98046875
'11011010-60', 0.98046875
'11011110-20', 0.97265625
'11011110-27', 0.984375
'11011210-20', 0.97265625
'11011310-11', 0.98046875
'11011310-50', 0.98046875
'11011410-60', 0.98046875
'11011510-10', 0.98046875
'11011610-20', 0.97265625
'11011710-50', 0.98046875
'11011820-50', 0.99609375
'11100030-50', 0.98828125
'11100030-11', 0.98828125
'11100030-10', 0.98828125
'11100110-50', 0.984375
'11100210-11', 0.9765625
'11100210-28', 0.9765625
'11100380-50', 0.98046875
'11100380-20', 0.97265625
'11100480-50', 0.98046875
'11100580-11', 0.984375
'11100580-20', 0.9765625
'11100681-11', 0.98828125
'11100681-50', 0.98828125
'11100710-50', 0.9921875
'11100830-12', 0.98828125
'11100930-11', 0.98828125
'11100930-50', 0.98828125
'11100930-10', 0.98828125
'11101081-50', 0.99609375
'11101130-11', 0.99609375
'11101280-10', 0.98046875
'11101320-50', 0.984375
'11101320-60', 0.984375
'11101430-50', 0.98046875
'11101430-52', 0.98046875
'11101620-11', 0.98828125
'11101730-10', 0.98828125
'11101730-20', 0.98046875
'11101810-10', 0.9921875
'11101910-10', 0.984375
'11101910-50', 0.98046875
'11101910-60', 0.984375
'11101910-11', 0.98046875
'11101930-70', 0.984375
'11102080-10', 0.98046875
'11102280-50', 0.98828125
'11102310-60', 0.98046875
'11102310-50', 0.98046875
'11102380-50', 0.9765625
'11102380-83', 0.9765625
'11102380-11', 0.9765625
'11102380-54', 0.9765625
'11102480-50', 0.9765625
'11102510-50', 0.99609375
'11102515-62', 0.99609375
'11102515-50', 0.99609375
'11102610-50', 0.98046875
'11102710-10', 0.984375
'11102710-19', 0.984375
'11102710-60', 0.984375
'11102710-61', 0.984375
'11102710-62', 0.984375
'11102710-69', 0.984375
'11102910-10', 0.9921875
'11102910-60', 0.9921875
'11103030-11', 0.98828125
'11103180-50', 0.98046875
'11103180-52', 0.98046875
'11103210-11', 0.98046875
'11103210-20', 0.97265625
'11103210-10', 0.98046875
'11103210-50', 0.98046875
'11103210-16', 0.98046875
'11103210-19', 0.98046875
'11103210-51', 0.98046875
'11103310-10', 0.98828125
'11103310-20', 0.98046875
'11103310-21', 0.98828125
'11103310-81', 0.98828125
'11103320-11', 0.98828125
'11103320-12', 0.98828125
'11103320-89', 0.98828125
'11103451-51', 0.9921875
'11103451-15', 0.9921875
'11103530-50', 0.98046875
'11103530-64', 0.98046875
'11103610-20', 0.9765625
'11103610-10', 0.984375
'11103710-10', 0.98828125
'11103881-11', 0.984375
'11103881-50', 0.984375
'11103930-10', 0.984375
'11103930-50', 0.984375
'11104050-16', 0.984375
'11104050-28', 0.984375
'11104180-50', 0.98046875
'11104180-11', 0.98046875
'11104210-50', 0.98046875
'11104210-60', 0.98046875
'11104381-52', 0.984375
'11104381-11', 0.984375
'11104481-10', 0.98828125
'11104481-50', 0.98828125
'11104510-11', 0.984375
'11104510-20', 0.9765625
'11104681-50', 0.984375
'11104781-10', 0.99609375
'11104781-50', 0.99609375
'11104881-30', 0.984375
'11104981-12', 0.98828125
'11105013-50', 0.98046875
'11105013-63', 0.98046875
'11105120-10', 0.99609375
'11105120-11', 0.99609375
'11105210-11', 0.984375
'11105210-20', 0.9765625
'11105210-80', 0.984375
'11105310-50', 0.984375
'11105310-63', 0.984375
'11105480-10', 0.9921875
'11105520-10', 0.99609375
'11105750-83', 0.99609375
'11105750-10', 0.99609375
'11105880-64', 0.98046875
'11105880-50', 0.98046875
'11105950-50', 0.984375
'11105950-11', 0.984375
'11105980-50', 0.984375
'11105980-52', 0.984375
'11105980-11', 0.984375
'11106010-50', 0.98828125
'11106010-63', 0.98828125
'11106110-50', 0.98046875
'11106210-10', 0.984375
'11106210-60', 0.984375
'11106210-62', 0.984375
'11106220-10', 0.984375
'11106381-11', 0.984375
'11106410-20', 0.98046875
'11106410-50', 0.98828125
'11106410-63', 0.98828125
'11106410-99', 0.98828125
'11106580-11', 0.98046875
'11106580-50', 0.98046875
'11106610-50', 0.984375
'11106710-10', 0.98828125
'11106710-20', 0.98046875
'11106710-21', 0.98828125
'11106710-50', 0.98828125
'11106710-52', 0.98828125
'11106710-63', 0.98828125
'11106810-10', 0.9921875
'11106810-60', 0.9921875
'11106810-62', 0.9921875
'11106810-70', 0.9921875
'11106910-10', 0.9921875
'11106910-60', 0.9921875
'11106910-63', 0.9921875
'11106910-64', 0.9921875
'11107010-20', 0.98046875
'11107110-10', 0.9921875
'11107250-11', 0.984375
'11107310-63', 0.98046875
'11107420-10', 0.99609375
'11107420-11', 0.99609375
'11107420-62', 0.99609375
'11107420-70', 0.99609375
'11107520-10', 0.99609375
'11107520-60', 0.99609375
'11107610-64', 0.99609375
'11107610-50', 0.99609375
'11107610-20', 0.98828125
'11107610-14', 0.99609375
'11107710-10', 0.9921875
'11107720-10', 0.99609375
'11107720-11', 0.99609375
'11107720-62', 0.99609375
'11107720-70', 0.99609375
'11107830-10', 0.9921875
'11107830-19', 0.9921875
'11107830-50', 0.9921875
'11107980-11', 0.97265625
'11108020-50', 0.98046875
'11108110-20', 0.98828125
'11108120-62', 0.99609375
'11108210-20', 0.984375
'11108210-21', 0.9921875
'11108210-63', 0.9921875
'11108210-70', 0.9921875
'11108230-11', 0.98046875
'11108230-50', 0.98046875
'11108230-70', 0.98046875
'11108230-83', 0.98046875
'11108320-11', 0.984375
'11108320-55', 0.984375
'11108320-64', 0.984375
'11108320-72', 0.984375
'11108420-64', 0.99609375
'11108510-50', 0.984375
'11108510-63', 0.984375
'11108610-29', 0.97265625
'11108610-10', 0.9765625
'11108710-20', 0.97265625
'11108710-50', 0.98046875
'11108710-60', 0.98046875
'11108810-11', 0.98046875
'11108830-50', 0.9765625
'11108910-10', 0.984375
'11108910-60', 0.984375
'11108910-62', 0.984375
'11109010-11', 0.984375
'11109010-50', 0.984375
'11109135-10', 0.984375
'11109135-11', 0.984375
'11109210-50', 0.98046875
'11109380-14', 0.97265625
'11109380-50', 0.97265625
'11109380-83', 0.97265625
'11109410-10', 0.9765625
'11109410-20', 0.96875
'11109410-60', 0.9765625
'11109510-10', 0.98046875
'11109510-20', 0.96875
'11109510-29', 0.97265625
'11109510-60', 0.98046875
'11109610-20', 0.97265625
'11109710-50', 0.9921875
'11109810-20', 0.98828125
'11109820-50', 0.99609375
'11110010-10', 0.99609375
'11110020-10', 0.99609375
'11110110-62', 0.99609375
'11110120-11', 0.99609375
'11110120-10', 0.99609375
'11110210-20', 0.98828125
'11110210-10', 0.99609375
'11110381-50', 0.984375
'11110410-20', 0.96875
'11110510-10', 0.98828125
'11110510-11', 0.98828125
'11110630-10', 0.984375
'11110730-64', 0.98046875
'11110730-50', 0.98046875
'11110881-10', 0.984375
'11110881-50', 0.984375
'11110935-20', 0.97265625
'11110935-50', 0.98046875
'11110935-11', 0.98046875
'11111110-10', 0.9921875
'11111230-11', 0.9921875
'11111230-80', 0.9921875
'11111381-50', 0.984375
'11111430-10', 0.984375
'11111530-60', 0.99609375
'11111630-50', 0.984375
'11111630-11', 0.984375
'11111710-10', 0.98046875
'11111710-11', 0.98046875
'11111710-20', 0.97265625
'11111810-50', 0.984375
'11111810-20', 0.9765625
'11111930-50', 0.984375
'11112030-50', 0.9765625
'11112030-80', 0.9765625
'11112181-10', 0.984375
'11112210-10', 0.984375
'11112210-60', 0.984375
'11112310-20', 0.98828125
'11112310-50', 0.99609375
'11112310-63', 0.99609375
'11112410-50', 0.984375
'11112410-63', 0.984375
'11112520-10', 0.98828125
'11112520-63', 0.98828125
'11112610-50', 0.984375
'11112810-10', 0.98828125
'11112810-20', 0.98046875
'11112810-80', 0.98828125
'11112910-63', 0.984375
'11112910-60', 0.984375
'11113010-20', 0.984375
'11113010-50', 0.9921875
'11113120-63', 0.98828125
'11113120-64', 0.98828125
'11113210-60', 0.984375
'11113380-11', 0.9765625
'11113410-20', 0.98046875
'11113510-11', 0.9921875
'11113510-20', 0.984375
'11113510-50', 0.9921875
'11113510-60', 0.9921875
'11113610-20', 0.98046875
'11113710-10', 0.9921875
'11113710-20', 0.984375
'11113820-10', 0.98828125
'11113820-11', 0.98828125
'11113820-62', 0.98828125
'11113820-70', 0.98828125
'11113950-10', 0.9921875
'11113950-52', 0.9921875
'11114020-0', 0.9921875
'11114020-10', 0.9921875
'11114020-11', 0.9921875
'11114320-10', 0.9921875
'11114320-11', 0.9921875
'11114320-64', 0.9921875
'11114430-10', 0.9921875
'11114430-21', 0.9921875
'11114430-70', 0.9921875
'11114510-50', 0.984375
'11114610-50', 0.984375
'11114610-63', 0.984375
'11114714-50', 0.98046875
'11114714-11', 0.98046875
'11114714-10', 0.98046875
'11114820-51', 0.99609375
'11114980-52', 0.9765625
'11114980-59', 0.9765625
'11114980-70', 0.9765625
'11115050-20', 0.98046875
'11115110-11', 0.984375
'11115220-10', 0.9921875
'11115220-21', 0.9921875
'11115220-61', 0.9921875
'11115310-10', 0.9921875
'11115310-11', 0.9921875
'11115310-62', 0.9921875
'11115415-11', 0.98828125
'11115415-60', 0.98828125
'11115420-64', 0.984375
'11115510-10', 0.9921875
'11115510-70', 0.9921875
'11115610-10', 0.984375
'11115610-60', 0.984375
'11115610-62', 0.984375
'11115710-10', 0.9921875
'11115710-11', 0.9921875
'11115710-30', 0.9921875
'11115820-50', 0.9921875
'11115820-70', 0.9921875
'11115910-10', 0.9921875
'11115910-60', 0.9921875
'11116010-60', 0.9921875
'11116010-70', 0.9921875
'11116110-10', 0.984375
'11116110-60', 0.984375
'11116110-62', 0.984375
'11116220-10', 0.99609375
'11116220-19', 0.99609375
'11116220-21', 0.99609375
'11116220-70', 0.99609375
'11116320-50', 0.98828125
'11116320-63', 0.98828125
'11116420-50', 0.984375
'11116420-14', 0.984375
'11116520-10', 0.98828125
